Composition,TC (K),ΔH (T),−(ΔSM)max (J kg−1 K−1),RCP (J kg−1),Ref.
Gd,293,5,9.5,410,52–55
Gd,293,1,3.25,—,56
La2 (PWD),337,1,2.70,68,57
La0.67Ba0.33 (TF),292,5,1.48,161,26
La0.67Ca0.33 (TF),252,5,2.08,175,26
La0.67Sr0.33MnO3 (TF),312,1.5,1.54,50.16,58
La0.67Sr0.33MnO3 (TF),321,1.5,1.47,34.24,58
Ba0.33Mn0.98Ti0.02O3 (PWD),309,1,0.93,45,39
Ba0.33Mn0.98Ti0.02O3 (PWD),309,5,3.19,307,39
Ba0.33Mn0.98Ti0.02O3 (TF),286,5,3.35,220,This work
Ba0.33Mn0.98Ti0.02O3 (TF),286,1,0.99,49,This work
